#id,AGE,MURDER TOOL,CLOTHE,SHOES,HEADWEAR,ACCESSORY,JOB,TIME,PLACE,SOUND,TRACE
516,70s,Wrapped Blowfish Sashimi,Long buttonless Cardigan,Blue Football Boots,Pink Permed Hair,Skull Shaped Ring,Doctor,Late Night,Old Studio Apartment,Skid Sounds,Arson Attempt
517,20s,Sharp Edged Stone,Undershirt,Knee High Wellies,Mid-long Ponytail,Leg Prosthetics,Cleaner,Morning,Self Service Cafe,Cars On Highway,Headlight
518,40s,Expandable Nightstick,Duck Patch Hoodie,White Running Shoes,Cherry Red Hair,Millitary Backpack,Nurse,Early Morning,Night Mountain,Cat Meow,Metal Fragments
519,40s,Wooden Cane,Grey Knit Shirt,Blue Colored Boots,Low Ponytail,Colorful Bracelets,Nurse,Morning,Sashimi Restaurant,Grill the Meat,Light Brown Hair
520,40s,Vintage Straight Razor,Purple Short Cardigan,Chess Patteren loafer,Short Permed Hair,Wide Leather Bracelet,Soldier,Morning,Haunted House,Neon Sign Noise,Bullet
521,60s,Teracotta Pot,Stripe Turtleneck Knit,Black Dress Shoes,Natural Two Block,Silver Stainless Ring,Hotel Receptionist,Morning,Small Old Supermarket,Spit On Ground,Written In Blood
522,20s,Potassium Cyanide,Printed White Tshirt,Red Football Boots,Pink Permed Hair,Buddhist Bead Bracelet,Hotel Receptionist,Night,Members Only Studyroom,Keyboard Sound,Skid Mark
523,30s,Rusty Pickaxe,Blue Shirt,Ochre Leather Loper,Natural Two Block,Colorful Bracelets,Director,Late Night,Members Only Studyroom,Chewing Paper Cup,Different Soil
524,20s,Wooden Baseball Bat,Lace Blouse,Strapped Leather Sandal,Mid-long Curly Hair,Skull Shaped Ring,Model,Night,Office,Toilet Flush Sound,Black Wig Hair
525,60s,BBQ Fork,Crop Vest Knit,Red Converse,Dandy Hairstyle,Leg Prosthetics,Janitor,Late Night,Haunted House,People Having Conversation,Arson Attempt
526,40s,Hydrochloric Acid,Long Sleeve Tshirt,Bare Foot,Dandy Hairstyle,Drop earrings,Sanitation Worker,Late Night,Motel in Downtown,Bearing Groaning,Metal Fragments
527,50s,Submachine Gun AR-18,Undershirt,Black Leather Loafer,Short Hair,Drop earrings,Soldier,Night,Big Old Arboretum,People Having Conversation,Body Hair
528,20s,Remington M7188,Stripe Turtleneck Knit,Ivory Converse,Pink Permed Hair,Tennis Wristband,Athletic Trainer,Late Night,PC cafe,Breaking Bone,Used Toilet Paper
529,30s,Round Edged Stone,Varsity Jacket,Brown Leather Loafer,Short Hair,Thick Chain Nechlace,Hotel Receptionist,Morning,Old Studio Apartment,Crack Knuckles,Fibrous Tissues
530,20s,Irregular Shaped Rock,Black Tshirt,Black Boots,Short Permed Hair,Buddhist Bead Bracelet,Athlete,Late Afternoon,Female Outfit Outlet,Keyboard Sound,Headlight
531,50s,Climbing Rope,Green Hiking Jacket,Black Low Sneakers,Pomade Hair,Lion Shaped Ring,Chef,Deep Dawn,Ecological Park,Birds Singing,Scorch Mark
532,20s,Wooden Board,Lace Blouse,White Running Shoes,High Ponytail,Left Ear Pierced,Soldier,Morning,PC cafe,Cutlery Falling down,Metal Fragments
533,40s,Wrapped Knife,China Collar Shirt,Thigh High Wellies,Pixie Cut,Buddhist Bead Bracelet,Hotel Receptionist,Deep Dawn,Small Theater Onstage,Water Shaking,Used Toilet Paper
534,20s,Sharp Edged Stone,Jersey Zip Hoodie,Chess Patteren loafer,Pomade Hair,Wide Leather Bracelet,Guard,Late Night,Town Hall,Grill the Meat,Irregular Footprints
535,30s,Sniper Gun ULR338,Emerald Coach Jacket,Thigh High Wellies,Long Hippie Perm,Black Backpack,Mechanic,Morning,Amusement Park Pillar,Cutting Something,Chewed Gum
536,50s,Sharp Edged Stone,Old Denim Jacket,Black Dress Shoes,High Ponytail,Left Ear Pierced,Janitor,Late Night,Inside Taxi,People Having Conversation,Chewed Gum
537,60s,Red Brick,Jersey Zip Hoodie,Strapped Leather Sandal,Short Hair,Skull Shaped Ring,Chef,Morning,Messy Goshiwon,Remote Air Conditioner,Lipstick Stained Cigarette
538,20s,Fabric Scissors,Printed Black Tshirt,Strapped Leather Sandal,Long Hair,Engagement Ring,Photographer,Late Night,Convinience Store Table,Joint twisted,Fingerprints
539,30s,Charging Cable,Short Padded Coat,White Basketball Shoes,Long Hair,Thick Chain Nechlace,Nurse,Deep Dawn,Old Snack Bar,Propeller Sound,Black Hair
540,40s,Wooden Handle Hatchet,Stripe Tshirt,White Running Shoes,Long Hippie Perm,Lion Shaped Ring,Cleaner,Late Night,Big Old Arboretum,Toilet Flush Sound,Used Toilet Paper
541,30s,Wooden Baseball Bat,Grey Hiking Jacket,Cherry Colored Boots,Comma Hairstyle,Millitary Backpack,Chef,Night,Officetel Underground Parkinglot,Chewing Paper Cup,Headlight
542,50s,Police Nightstick,Luxury Brown Shearing,German Army Trainers,Short Hair,Millitary Backpack,Homeless,Late Night,SUV Back Seats,Propeller Sound,Body Hair
543,50s,Pesticide,Jersey Zip Hoodie,Strapped Leather Sandal,Bald Hair,Engagement Ring,Cleaner,Deep Dawn,Big Old Arboretum,Plastic Beating Sound,Irregular Footprints
544,30s,Remington M7188,Grey Knit Shirt,White Running Shoes,Long Curly Hair,Cross Charm Bracelet,Soldier,Morning,Luxury Club,Running Treadmill,Black Hair
545,70s,Bereta APX,Printed White Tshirt,Black Low Sneakers,Short Permed Hair,Tennis Wristband,Chef,Late Night,Inn Near Brothel,Birds Singing,Footprint 270mm Sneakers
546,50s,Stained Handsaw,Blue Shirt,Logo Printed Slider,Long Hair,Engagement Ring,Mart Cashier,Morning,Room Cafe,Cars On Highway,Disposable Lighter
547,40s,Bottle of Propofol,Purple Short Cardigan,Black Long Boots,Long Permed Hair,Colorful Bracelets,Hair Designer,Night,Blackout Parking Lot,Backpack Stuff Shaking,Crumpled Cigarette Package
548,30s,Disposable Syringe,Grey Hiking Jacket,Chess Patteren loafer,Bald Hair,Engagement Ring,Director,Late Night,Officetel Management Office,Phone Alarm Ringing,Written In Blood
549,40s,Rusty Hammer,China Collar Shirt,Black Converse,Short Curly Hair,Silver Stainless Ring,Actor,Night,Inn Near Brothel,Running Treadmill,Footprint 265mm workshoes
550,40s,Katana,Blue Shirt,Black Boots,Short Permed Hair,Silver Stainless Ring,Janitor,Late Afternoon,Town Hall,Dog Barking,Maggot
551,20s,Flathead Screwdriver,Green Hiking Jacket,Blue Football Boots,Low Ponytail,Lion Shaped Ring,Chef,Early Morning,Subway Station Entrance,Sound of Wave,Footprint 265mm workshoes
552,30s,Walther PPK ,Grey Fleece Hoodie,Black Boots,Dandy Hairstyle,Skull Shaped Ring,Professor,Late Night,Members Only Studyroom,Chalkboard Scraping,Feather
553,70s,Thick Rubber Wire,Brown Wool Coat,Ivory Converse,Two Block Haircut,Silver Stainless Ring,Janitor,Morning,Members Only Studyroom,Hammering Sound,Nail Tips
554,30s,Collectible Suseok,Printed White Tshirt,Strapped Leather Sandal,Pomade Hair,Black Backpack,Professor,Late Afternoon,Semi Basement Apartment,Hammering Sound,Fly
555,40s,White Silk Curtain,Grey Knit Shirt,Ivory Converse,Bob Hair,Cross Charm Bracelet,Soldier,Late Night,Night Mountain,Cutlery Falling down,Lipstick Without Fingerprint
556,40s,Climbing Rope,Grey Fleece Hoodie,Black Dress Shoes,Matilda Bob,Wide Leather Bracelet,Janitor,Early Morning,SUV Passenger Seat,Phone Alarm Ringing,Ripped Cloth
557,70s,Sharp Pencil,Grey Fleece Hoodie,White Running Shoes,Mid-long Hair,Skull Shaped Ring,Banker,Late Night,SUV Back Seats,Reading Buddhist Text,Scorch Mark
558,60s,Fire Poker,Blue Shirt,Bare Foot,Cherry Red Hair,Skull Shaped Ring,Athletic Trainer,Morning,Big Old Arboretum,Keyboard Sound,Footprint 265mm workshoes
559,20s,Wooden Board,Long buttonless Cardigan,Black Long Boots,Bob With Bangs,Thick Chain Nechlace,Chef,Early Morning,Underground Grocery Store,Chewing Paper Cup,Fibrous Tissues
560,60s,Wood Branch,China Collar Shirt,Black Boots,High Ponytail,Millitary Backpack,Director,Night,SUV Passenger Seat,Quite Conversation,Fibrous Tissues
561,30s,Sealed Wine Bottle,Crop Vest Knit,White Platform Sneakers,Black Short Babyperm,Lion Shaped Ring,Guard,Deep Dawn,Messy Dumpster Alley,Chewing Paper Cup,Black Vinyl Bag
562,40s,Wooden Baseball Bat,Ivy League Hoodie,Suede Boat shoes,Two Block Haircut,Black Disposable Mask,Librarian,Morning,Messy Dumpster Alley,Joint twisted,Used Toilet Paper
563,30s,Mercury,Purple Short Cardigan,White Running Shoes,Dandy Hairstyle,Buddhist Bead Bracelet,Professor,Late Night,Semi Basement Apartment,Crack Knuckles,Bullet
564,40s,Rusty Shotgun,Ivy League Hoodie,Black Converse,Black Short Babyperm,Colorful Bracelets,Mechanic,Early Morning,Messy Goshiwon,Hammering Sound,Metal Fragments
565,70s,Wood Branch,Stripe Tshirt,Strapped Leather Sandal,Two Block Haircut,Thick Chain Nechlace,Guard,Night,Single Corridor Apartment,People Having Conversation,Paint Stain
566,30s,Wooden Cane,Printed White Tshirt,Ochre Leather Loper,Long Bleached hair,Drop earrings,Lawyer,Night,Inside Taxi,Wooden Weapon Falling,Black Wig Hair
567,30s,Poisoned Medicine,Long Sleeve Tshirt,Thigh High Wellies,Long Blonde hair,Nose Piercing,Director,Late Night,Female Outfit Outlet,Sand Stepping Barefoot,Fingerprints
568,50s,Pottassium Chloride,Black Tshirt,Blue Football Boots,Natural Two Block,Left Ear Pierced,Athletic Trainer,Morning,Hostel (Normal Dorm),Crack Knuckles,Fibrous Tissues
569,60s,Green Utility Knife,Jersey Zip Hoodie,Black Converse,Low Ponytail,Skull Shaped Ring,Soldier,Early Morning,Dormitory High School,Whistle,Bullet
570,20s,Porcelain Pot,Lace Blouse,Ivory Converse,Natural Two Block,Skull Shaped Ring,Lawyer,Morning,Blackout Parking Lot,Wooden Weapon Falling,Paint Stain
571,20s,Rusty Pickaxe,Luxury Brown Shearing,Suede Boat shoes,Long Permed Hair,Cross Charm Bracelet,Professor,Morning,Dumpster,Electric Fan Sound,Fibrous Tissues
572,20s,Wooden Handle Cleaver,Green Hiking Jacket,Chess Patteren loafer,Short Permed Hair,Silver Stainless Ring,Janitor,Late Night,Deep Forest,Dog Barking,Excrements
573,30s,Police Nightstick,Grey Fleece Hoodie,White Platform Sneakers,Pink Permed Hair,Black Disposable Mask,Nurse,Morning,Subway Station Entrance,Spit On Ground,Disposable Lighter
574,50s,Wrapped Blowfish Sashimi,Khaki Tshirt,Black Leather Loafer,High Ponytail,Skull Shaped Ring,Nurse,Late Afternoon,Self Service Bar,Running Treadmill,Arson Attempt
575,70s,Desert Eagle,Crop Vest Knit,Red Converse,Short Curly Hair,Black Disposable Mask,Chef,Early Morning,House With Yard,Cutting Something,Ripped Cloth
576,30s,BBQ Fork,Duck Patch Hoodie,Skyblue Flip Flop,High Ponytail,Colorful Bracelets,Soldier,Night,Officetel Management Office,Keyboard Sound,Empty Cartridge
577,30s,Metal Pipe,Purple Short Cardigan,Black Leather Loafer,Long Permed Hair,Eyebrow Piercing,Director,Late Night,Old Studio Apartment,Birds Singing,Black Vinyl Bag
578,40s,Broken Beer Bottle,Yellow Short Cardigan,Red Converse,Short Permed Hair,Buddhist Bead Bracelet,Athletic Trainer,Early Morning,Dumpster,Bearing Groaning,Bullet
579,20s,Code Of Law,Cotton Zip Hoodie,Black Low Sneakers,Mid-long Curly Hair,Wide Leather Bracelet,Janitor,Morning,Office,Cutlery Falling down,Lipstick Stained Cigarette
580,70s,Pesticide,Printed White Tshirt,White Platform Sneakers,Long Permed Hair,Skull Shaped Ring,Hotel Receptionist,Deep Dawn,Small Theater Onstage,Whistle,Not Solidfied Blood
581,30s,Muscaria Mushroom,Short Padded Coat,White Running Shoes,Bob With Bangs,Millitary Backpack,Model,Deep Dawn,Amusement Park Pillar,Water Flowing Sound,Disposable Lighter
582,20s,Sport Towel,Vest With Slits,Ivory Converse,Short Permed Hair,Tennis Wristband,Mart Cashier,Deep Dawn,Lecture Hall,Phone Alarm Ringing,Excrements
583,20s,Rusty Hammer,Grey Knit Shirt,Black Leather Loafer,Brown Short Babyperm,Silver Stainless Ring,Mart Cashier,Late Night,University Hospital,Crack Knuckles,Written In Blood
584,40s,Cordless Drill,Grey Fleece Hoodie,Black Converse,Two Block Haircut,Stud Earrings,Soldier,Morning,Office,Water Shaking,Irregular Footprints
585,30s,Wrapped Blowfish Sashimi,Grey Hiking Jacket,White Stained Boots,Buzz cut hair,Buddhist Bead Bracelet,Engineer,Morning,Old Studio Apartment,Chewing Gum,Black Wig Hair
586,50s,Monkey Wrench,China Collar Shirt,Logo Printed Slider,Two Block Haircut,Gold Cross Necklace,Banker,Around Midnight,Officetel Management Office,Throw Up Blood,Women`s Underwear
587,20s,Rusty Sickle,Printed White Tshirt,Black Long Boots,Long Hair,Black Backpack,Janitor,Morning,Haunted House,Irregular Walking Sound,Glass Fragments
588,30s,VX Spray,Vest With Slits,Black Low Sneakers,Comma Hairstyle,Engagement Ring,Doctor,Late Night,Semi Basement Apartment,Propeller Sound,Lipstick Without Fingerprint
589,20s,Porcelain Pot,Blue Shirt,White Platform Sneakers,Pink Permed Hair,Millitary Backpack,Chef,Late Night,Back Seats,Irregular Walking Sound,Fly
590,50s,Aluminum Baseball Bat,Crop Vest Knit,Black Leather Loafer,Dandy Hairstyle,Electronics Anklet,Model,Night,Room Cafe,Slip and Crash,Footprint 265mm workshoes
591,40s,Submachine Gun K16,Yellow Short Cardigan,German Army Trainers,Long Hair,Charm Earrings,Mechanic,Late Night,Famous Traditional Market,People Having Conversation,Not Solidfied Blood
592,20s,Poisoned Medicine,Lace Blouse,Bare Foot,Long Hair,Thick Chain Nechlace,Guard,Night,Underground Parking Lot,Whistle,Fly
593,40s,White Silk Curtain,Long Field Jacket,Black Long Boots,Mid-long Curly Hair,Skull Shaped Ring,Doctor,Deep Dawn,Old DVD room,Running Treadmill,Empty Cartridge
594,50s,Broken Beer Bottle,Yellow Short Cardigan,German Army Trainers,Long Hair,Buddhist Bead Bracelet,Hotel Receptionist,Late Night,Officetel Staircase,Hammering Sound,Paint Stain
595,30s,Surgical Blade,Grey Knit Shirt,White Platform Sneakers,Brown Short Babyperm,Engagement Ring,Guard,Night,Messy Dumpster Alley,Cutlery Falling down,Black Vinyl Bag
596,30s,Cordless Drill,Jersey Zip Hoodie,Black Leather Loafer,Bob With Bangs,Silver Stainless Ring,Actor,Morning,Dumpster,Hammering Sound,Cigarette Butts
597,30s,Rusty Pickaxe,Long buttonless Cardigan,Brown Leather Loafer,High Ponytail,Leg Prosthetics,Actor,Morning,Lonesome Bus Station,Digging With Shovel,Arson Attempt
598,20s,Rusty Shotgun,Crop Vest Knit,Chess Patteren loafer,Short Hair,Buddhist Bead Bracelet,Homeless,Morning,PC cafe,Neon Sign Noise,Different Soil
599,60s,White Silk Curtain,Pilot Bomber Jacket,Red Football Boots,Low Ponytail,Lion Shaped Ring,Doctor,Late Night,Single Corridor Apartment,Whistle,Black Button
600,20s,Old Striped Tie,White Shirt,Ivory Converse,Mid-long Straight Hair,Gold Cross Necklace,Nurse,Morning,Messy Dumpster Alley,Remote Air Conditioner,Footprint 265mm workshoes
601,40s,Poisoned Medicine,Purple Short Cardigan,Strapped Leather Sandal,Brown Short Babyperm,Millitary Backpack,Athletic Trainer,Deep Dawn,Deep Forest,Chewing Paper Cup,Black Hair
602,20s,Blue Plastic Nipper,Ivy League Hoodie,Cherry Colored Boots,Dandy Hairstyle,Buddhist Bead Bracelet,Engineer,Around Midnight,Sashimi Restaurant,Cutting Something,Body Hair
603,40s,Wrapped Blowfish Sashimi,Stripe Turtleneck Knit,Black Leather Loafer,Pink Permed Hair,Engagement Ring,Banker,Early Morning,Major Bank,Hammering Sound,Irregular Footprints
604,30s,Microgun XM214,Undershirt,Blue Colored Boots,Mid-long Straight Hair,Engagement Ring,Director,Morning,Members Only Studyroom,Remote Air Conditioner,Fibrous Tissues
605,20s,Wooden Board,Jersey Zip Hoodie,Red Football Boots,Long Hippie Perm,Gold Cross Necklace,Athletic Trainer,Morning,Blackout Parking Lot,Sand Stepping Barefoot,Nail Tips
606,20s,Wooden Baseball Bat,Brown Wool Coat,Brown Leather Loafer,Mid-long Curly Hair,Chocker Necklace,Professor,Deep Dawn,Custom Camping Car,Whistle,Paint Stain
607,30s,Computer Monitor,Black Hiking Jacket,Suede Boat shoes,Natural Two Block,Thick Chain Nechlace,Soldier,Late Night,Blackout Parking Lot,Dog Barking,Fingerprints
608,20s,Red Chainsaw,Vest With Slits,Black Long Boots,Short Permed Hair,Black Backpack,Photographer,Late Night,SUV Back Seats,Bearing Groaning,Lipstick Stained Cigarette
609,50s,Broken Beer Bottle,Long Sleeve Tshirt,Black Converse,Long Permed Hair,Engagement Ring,Engineer,Deep Dawn,Motel in Backstreet,Chewing Gum,Body Hair
610,60s,Ski Pole,Undershirt,Black Low Sneakers,Perm With Bangs,Silver Stainless Ring,Hair Designer,Late Night,Large Department Sotre,Whistle,Women`s Underwear
611,30s,Wrapped Blowfish Sashimi,Cotton Zip Hoodie,Blue Football Boots,Pixie Cut,Colorful Bracelets,Athletic Trainer,Morning,Haunted House,Keyboard Sound,Maggot
612,40s,Walther PPK .32ACP,Logo Printed Windbreaker,White Running Shoes,Short Curly Hair,Wide Leather Bracelet,Sanitation Worker,Night,Underground Grocery Store,Spit On Ground,Black Powder
613,50s,Charging Cable,Long Field Jacket,Black Boots,Dandy Hairstyle,Charm Earrings,Soldier,Night,Town Hall,Gas Range On,Nail Tips
614,60s,Fabric Scissors,Cotton Zip Hoodie,White Basketball Shoes,Bob Hair,Lion Shaped Ring,Police Officer,Night,Motel in Downtown,TV Sports Commentaries,Black Powder
615,20s,Wooden Baseball Bat,Crop Vest Knit,White Running Shoes,Comma Hairstyle,Colorful Bracelets,Mechanic,Early Morning,Deep Forest,People Having Conversation,Black Wig Hair
616,40s,Rusty Shotgun,Purple Short Cardigan,White Stained Boots,Short Hair,Black Disposable Mask,Mechanic,Deep Dawn,Old Studio Apartment,People Having Conversation,Empty Cartridge
617,20s,Dental Drill,Yellow Short Cardigan,Black Converse,Black Short Babyperm,Colorful Bracelets,Mart Cashier,Early Morning,Hostel (Normal Dorm),Fan Sound,Used Toilet Paper
618,20s,Rusty Pickaxe,Khaki Tshirt,Chess Patteren loafer,Pink Permed Hair,Buddhist Bead Bracelet,Banker,Early Morning,Semi Basement Apartment,Neon Sign Noise,Weapon With Fingerprint
619,20s,Cocaine,Jersey Zip Hoodie,Black Converse,Pink Permed Hair,Charm Earrings,Nurse,Morning,Major Bank,Dishwasher Sound,Nail Tips
620,70s,Hydrochloric Acid,Brown Wool Coat,Blue Football Boots,Long Hair,Colorful Bracelets,Professor,Deep Dawn,Small Old Supermarket,Water Shaking,Lipstick Without Fingerprint
621,30s,Surgical Blade,Grey Fleece Hoodie,Black Chelsea Boots,Bob With Bangs,Cross Charm Bracelet,Soldier,Morning,Party Room,Fan Sound,Black Vinyl Bag
622,60s,Gasoline With Zippo,Green Hiking Jacket,Suede Boat shoes,Long Brown hair,Buddhist Bead Bracelet,Athlete,Morning,Old DVD room,People Having Conversation,Skid Mark
623,30s,Sharp Edged Stone,Long buttonless Cardigan,Blue Football Boots,Long Hair,Electronics Anklet,Janitor,Late Night,Members Only Studyroom,Grill the Meat,Nail Tips
624,30s,Green Paring Knife,White Tshirt,Black Long Boots,Long Permed Hair,Buddhist Bead Bracelet,Nurse,Late Night,Closed Amusement Park,Cars On Highway,Written In Blood
625,30s,Wooden Handle Hatchet,Blue Shirt,Knee High Wellies,Bob With Bangs,Silver Stainless Ring,Engineer,Early Morning,Lonesome Bus Station,Fan Sound,Excrements
626,30s,Porcelain Pot,Brown Wool Coat,Strapped Leather Sandal,Natural Two Block,Buddhist Bead Bracelet,Chef,Morning,Meat Cold Storage,Whistle,Arson Attempt
627,30s,Glacial Acetic Acid,Jersey Zip Hoodie,White Basketball Shoes,Short Hair,Millitary Backpack,Cleaner,Early Morning,Cargo Truck Back,Toilet Flush Sound,Lipstick Stained Cigarette
628,40s,Charging Cable,Luxury Brown Shearing,Bare Foot,Long Hippie Perm,Engagement Ring,Mart Cashier,Morning,Ecological Park,Chewing Gum,Excrements
629,30s,Sport Towel,Grey Hiking Jacket,Black Long Boots,Mid-long Curly Hair,Engagement Ring,Hotel Receptionist,Morning,Major Bank,Water Shaking,Weapon With Fingerprint
630,30s,Submachine Gun K16,Old Denim Jacket,Red Converse,Two Block Haircut,Leg Prosthetics,Sanitation Worker,Night,Shared Office Toilet,Cutlery Falling down,Bloodstained Everywhere
631,70s,Remington M7188,White Shirt,Chess Patteren loafer,Short Permed Hair,Tennis Wristband,Sanitation Worker,Late Night,Normal House,Sand Stepping Barefoot,Used Toilet Paper
632,70s,Quick Pipe Wrench,Long Field Jacket,Ivowy Suede Moccasin,Black Short Babyperm,Skull Shaped Ring,Police Officer,Late Afternoon,Small Theater Onstage,Fan Sound,Feather
633,30s,Piano Wire,Pilot Bomber Jacket,Cherry Colored Boots,Short Curly Hair,Lion Shaped Ring,Mart Cashier,Night,Inside Camping Car,Chewing Paper Cup,Disposable Lighter
634,40s,Red Brick,Grey Hiking Jacket,White Running Shoes,Long Hippie Perm,Left Ear Pierced,Photographer,Late Night,Major Bank,Bearing Groaning,Lipstick Stained Cigarette
